date,location,lyme_cases,wnv_cases
2023-01-01,Colorado,0,3
2023-01-02,Colorado,0,1
2023-01-03,Colorado,0,4
2023-01-04,Colorado,0,1
2023-01-05,Colorado,2,3
2023-01-06,Colorado,0,1
2023-01-07,Colorado,1,3
2023-01-08,Colorado,0,1
2023-01-09,Colorado,1,1
2023-01-10,Colorado,0,0
2023-01-11,Colorado,0,3
2023-01-12,Colorado,1,0
2023-01-13,Colorado,0,6
2023-01-14,Colorado,1,3
2023-01-15,Colorado,1,0
2023-01-16,Colorado,1,0
2023-01-17,Colorado,0,2
2023-01-18,Colorado,0,0
2023-01-19,Colorado,0,0
2023-01-20,Colorado,2,1
2023-01-21,Colorado,0,1
2023-01-22,Colorado,2,0
2023-01-23,Colorado,0,0
2023-01-24,Colorado,0,0
2023-01-25,Colorado,1,0
2023-01-26,Colorado,1,0
2023-01-27,Colorado,1,0
2023-01-28,Colorado,0,1
2023-01-29,Colorado,0,1
2023-01-30,Colorado,1,0
2023-01-31,Colorado,0,0
2023-02-01,Colorado,0,0
2023-02-02,Colorado,0,0
2023-02-03,Colorado,0,0
2023-02-04,Colorado,1,0
2023-02-05,Colorado,0,1
2023-02-06,Colorado,1,0
2023-02-07,Colorado,0,0
2023-02-08,Colorado,0,0
2023-02-09,Colorado,0,0
2023-02-10,Colorado,1,0
2023-02-11,Colorado,1,0
2023-02-12,Colorado,0,0
2023-02-13,Colorado,0,0
2023-02-14,Colorado,0,0
2023-02-15,Colorado,0,1
2023-02-16,Colorado,0,0
2023-02-17,Colorado,0,0
2023-02-18,Colorado,0,0
2023-02-19,Colorado,3,0
2023-02-20,Colorado,0,0
2023-02-21,Colorado,1,0
2023-02-22,Colorado,0,0
2023-02-23,Colorado,0,0
2023-02-24,Colorado,1,0
2023-02-25,Colorado,0,1
2023-02-26,Colorado,0,0
2023-02-27,Colorado,0,2
2023-02-28,Colorado,0,0
2023-03-01,Colorado,0,0
2023-03-02,Colorado,0,2
2023-03-03,Colorado,0,0
2023-03-04,Colorado,1,0
2023-03-05,Colorado,0,0
2023-03-06,Colorado,0,0
2023-03-07,Colorado,1,1
2023-03-08,Colorado,0,1
2023-03-09,Colorado,2,0
2023-03-10,Colorado,1,0
2023-03-11,Colorado,0,0
2023-03-12,Colorado,0,0
2023-03-13,Colorado,0,0
2023-03-14,Colorado,1,0
2023-03-15,Colorado,0,0
2023-03-16,Colorado,1,0
2023-03-17,Colorado,0,0
2023-03-18,Colorado,1,0
2023-03-19,Colorado,1,0
2023-03-20,Colorado,1,0
2023-03-21,Colorado,0,0
2023-03-22,Colorado,0,0
2023-03-23,Colorado,0,0
2023-03-24,Colorado,0,0
2023-03-25,Colorado,1,0
2023-03-26,Colorado,0,0
2023-03-27,Colorado,1,1
2023-03-28,Colorado,1,0
2023-03-29,Colorado,0,0
2023-03-30,Colorado,0,0
2023-03-31,Colorado,0,0
2023-04-01,Colorado,1,0
2023-04-02,Colorado,0,0
2023-04-03,Colorado,0,0
2023-04-04,Colorado,0,0
2023-04-05,Colorado,1,0
2023-04-06,Colorado,2,0
2023-04-07,Colorado,1,1
2023-04-08,Colorado,1,0
2023-04-09,Colorado,2,0
2023-04-10,Colorado,1,0
2023-04-11,Colorado,3,0
2023-04-12,Colorado,1,0
2023-04-13,Colorado,0,0
2023-04-14,Colorado,1,0
2023-04-15,Colorado,3,0
2023-04-16,Colorado,2,0
2023-04-17,Colorado,2,1
2023-04-18,Colorado,2,0
2023-04-19,Colorado,6,0
2023-04-20,Colorado,1,0
2023-04-21,Colorado,2,0
2023-04-22,Colorado,3,0
2023-04-23,Colorado,3,0
2023-04-24,Colorado,7,0
2023-04-25,Colorado,3,0
2023-04-26,Colorado,4,0
2023-04-27,Colorado,6,1
2023-04-28,Colorado,6,0
2023-04-29,Colorado,6,0
2023-04-30,Colorado,4,0
2023-05-01,Colorado,7,0
2023-05-02,Colorado,6,0
2023-05-03,Colorado,2,0
2023-05-04,Colorado,7,0
2023-05-05,Colorado,8,0
2023-05-06,Colorado,4,0
2023-05-07,Colorado,6,0
2023-05-08,Colorado,8,0
2023-05-09,Colorado,7,0
2023-05-10,Colorado,3,0
2023-05-11,Colorado,11,1
2023-05-12,Colorado,7,1
2023-05-13,Colorado,8,0
2023-05-14,Colorado,9,0
2023-05-15,Colorado,3,0
2023-05-16,Colorado,9,0
2023-05-17,Colorado,4,1
2023-05-18,Colorado,8,0
2023-05-19,Colorado,15,0
2023-05-20,Colorado,10,0
2023-05-21,Colorado,5,0
2023-05-22,Colorado,7,1
2023-05-23,Colorado,3,0
2023-05-24,Colorado,5,1
2023-05-25,Colorado,7,0
2023-05-26,Colorado,13,1
2023-05-27,Colorado,5,0
2023-05-28,Colorado,7,0
2023-05-29,Colorado,7,0
2023-05-30,Colorado,9,0
2023-05-31,Colorado,5,0
2023-06-01,Colorado,8,1
2023-06-02,Colorado,11,0
2023-06-03,Colorado,6,0
2023-06-04,Colorado,9,0
2023-06-05,Colorado,13,0
2023-06-06,Colorado,12,0
2023-06-07,Colorado,9,0
2023-06-08,Colorado,10,0
2023-06-09,Colorado,17,0
2023-06-10,Colorado,9,0
2023-06-11,Colorado,10,0
2023-06-12,Colorado,14,0
2023-06-13,Colorado,10,0
2023-06-14,Colorado,11,1
2023-06-15,Colorado,17,0
2023-06-16,Colorado,8,2
2023-06-17,Colorado,14,0
2023-06-18,Colorado,10,2
2023-06-19,Colorado,11,2
2023-06-20,Colorado,14,0
2023-06-21,Colorado,11,3
2023-06-22,Colorado,15,0
2023-06-23,Colorado,13,5
2023-06-24,Colorado,12,3
2023-06-25,Colorado,9,2
2023-06-26,Colorado,16,1
2023-06-27,Colorado,11,1
2023-06-28,Colorado,11,3
2023-06-29,Colorado,15,0
2023-06-30,Colorado,23,5
2023-07-01,Colorado,12,4
2023-07-02,Colorado,14,1
2023-07-03,Colorado,14,3
2023-07-04,Colorado,13,5
2023-07-05,Colorado,11,3
2023-07-06,Colorado,6,1
2023-07-07,Colorado,15,3
2023-07-08,Colorado,15,9
2023-07-09,Colorado,14,2
2023-07-10,Colorado,14,7
2023-07-11,Colorado,16,2
2023-07-12,Colorado,16,5
2023-07-13,Colorado,13,1
2023-07-14,Colorado,14,4
2023-07-15,Colorado,15,10
2023-07-16,Colorado,12,10
2023-07-17,Colorado,23,4
2023-07-18,Colorado,14,7
2023-07-19,Colorado,16,5
2023-07-20,Colorado,12,3
2023-07-21,Colorado,18,9
2023-07-22,Colorado,15,6
2023-07-23,Colorado,16,2
2023-07-24,Colorado,11,9
2023-07-25,Colorado,20,8
2023-07-26,Colorado,14,6
2023-07-27,Colorado,17,3
2023-07-28,Colorado,17,4
2023-07-29,Colorado,12,9
2023-07-30,Colorado,19,4
2023-07-31,Colorado,17,5
2023-08-01,Colorado,12,7
2023-08-02,Colorado,18,6
2023-08-03,Colorado,18,8
2023-08-04,Colorado,17,12
2023-08-05,Colorado,20,7
2023-08-06,Colorado,9,8
2023-08-07,Colorado,8,6
2023-08-08,Colorado,14,8
2023-08-09,Colorado,13,8
2023-08-10,Colorado,15,3
2023-08-11,Colorado,8,7
2023-08-12,Colorado,18,8
2023-08-13,Colorado,6,8
2023-08-14,Colorado,14,7
2023-08-15,Colorado,11,6
2023-08-16,Colorado,13,5
2023-08-17,Colorado,12,11
2023-08-18,Colorado,11,6
2023-08-19,Colorado,13,14
2023-08-20,Colorado,14,9
2023-08-21,Colorado,15,7
2023-08-22,Colorado,11,14
2023-08-23,Colorado,15,8
2023-08-24,Colorado,11,8
2023-08-25,Colorado,12,8
2023-08-26,Colorado,15,11
2023-08-27,Colorado,17,8
2023-08-28,Colorado,5,7
2023-08-29,Colorado,16,9
2023-08-30,Colorado,18,13
2023-08-31,Colorado,11,10
2023-09-01,Colorado,11,9
2023-09-02,Colorado,12,10
2023-09-03,Colorado,18,9
2023-09-04,Colorado,13,9
2023-09-05,Colorado,13,13
2023-09-06,Colorado,15,9
2023-09-07,Colorado,15,5
2023-09-08,Colorado,11,9
2023-09-09,Colorado,16,12
2023-09-10,Colorado,5,9
2023-09-11,Colorado,21,7
2023-09-12,Colorado,12,11
2023-09-13,Colorado,9,11
2023-09-14,Colorado,11,18
2023-09-15,Colorado,15,16
2023-09-16,Colorado,9,12
2023-09-17,Colorado,12,13
2023-09-18,Colorado,8,13
2023-09-19,Colorado,13,7
2023-09-20,Colorado,7,11
2023-09-21,Colorado,14,10
2023-09-22,Colorado,13,16
2023-09-23,Colorado,13,15
2023-09-24,Colorado,16,11
2023-09-25,Colorado,9,12
2023-09-26,Colorado,6,3
2023-09-27,Colorado,8,20
2023-09-28,Colorado,9,13
2023-09-29,Colorado,6,18
2023-09-30,Colorado,10,14
2023-10-01,Colorado,10,12
2023-10-02,Colorado,6,13
2023-10-03,Colorado,6,17
2023-10-04,Colorado,11,12
2023-10-05,Colorado,12,9
2023-10-06,Colorado,7,10
2023-10-07,Colorado,11,7
2023-10-08,Colorado,4,5
2023-10-09,Colorado,10,6
2023-10-10,Colorado,4,13
2023-10-11,Colorado,15,7
2023-10-12,Colorado,14,22
2023-10-13,Colorado,5,8
2023-10-14,Colorado,5,17
2023-10-15,Colorado,5,4
2023-10-16,Colorado,7,11
2023-10-17,Colorado,11,9
2023-10-18,Colorado,6,12
2023-10-19,Colorado,2,8
2023-10-20,Colorado,12,9
2023-10-21,Colorado,7,8
2023-10-22,Colorado,3,5
2023-10-23,Colorado,11,9
2023-10-24,Colorado,3,5
2023-10-25,Colorado,1,13
2023-10-26,Colorado,4,10
2023-10-27,Colorado,3,9
2023-10-28,Colorado,8,10
2023-10-29,Colorado,10,11
2023-10-30,Colorado,3,13
2023-10-31,Colorado,4,6
2023-11-01,Colorado,5,7
2023-11-02,Colorado,11,13
2023-11-03,Colorado,6,13
2023-11-04,Colorado,5,13
2023-11-05,Colorado,3,9
2023-11-06,Colorado,1,13
2023-11-07,Colorado,6,8
2023-11-08,Colorado,2,7
2023-11-09,Colorado,5,5
2023-11-10,Colorado,2,9
2023-11-11,Colorado,4,9
2023-11-12,Colorado,5,6
2023-11-13,Colorado,1,7
2023-11-14,Colorado,2,8
2023-11-15,Colorado,2,4
2023-11-16,Colorado,2,8
2023-11-17,Colorado,2,6
2023-11-18,Colorado,2,10
2023-11-19,Colorado,3,7
2023-11-20,Colorado,1,9
2023-11-21,Colorado,2,7
2023-11-22,Colorado,1,5
2023-11-23,Colorado,2,8
2023-11-24,Colorado,1,12
2023-11-25,Colorado,1,3
2023-11-26,Colorado,0,10
2023-11-27,Colorado,1,6
2023-11-28,Colorado,0,9
2023-11-29,Colorado,0,8
2023-11-30,Colorado,0,6
2023-12-01,Colorado,0,7
2023-12-02,Colorado,0,7
2023-12-03,Colorado,0,8
2023-12-04,Colorado,0,9
2023-12-05,Colorado,0,7
2023-12-06,Colorado,2,4
2023-12-07,Colorado,0,6
2023-12-08,Colorado,0,5
2023-12-09,Colorado,1,13
2023-12-10,Colorado,0,4
2023-12-11,Colorado,0,5
2023-12-12,Colorado,1,3
2023-12-13,Colorado,0,4
2023-12-14,Colorado,0,4
2023-12-15,Colorado,1,6
2023-12-16,Colorado,1,1
2023-12-17,Colorado,1,3
2023-12-18,Colorado,0,4
2023-12-19,Colorado,0,2
2023-12-20,Colorado,2,5
2023-12-21,Colorado,0,3
2023-12-22,Colorado,3,5
2023-12-23,Colorado,0,2
2023-12-24,Colorado,1,5
2023-12-25,Colorado,0,1
2023-12-26,Colorado,0,5
2023-12-27,Colorado,0,4
2023-12-28,Colorado,0,4
2023-12-29,Colorado,0,5
2023-12-30,Colorado,1,4
2023-12-31,Colorado,1,2
