disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
wnv,13.100000000000001,13.100000000000001,13.100000000000001,29.84,33.56,37.28,41.0,37.28,33.56,29.84,13.100000000000001,13.100000000000001
lyme,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
rmsf,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
ctf,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
anaplasmosis,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
babesiosis,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
tbrf,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
tularemia,13.100000000000001,13.100000000000001,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,13.100000000000001
plague,22.400000000000002,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,22.400000000000002,19.3
hantavirus,22.400000000000002,26.119999999999997,29.84,33.56,37.28,41.0,37.28,33.56,29.84,26.119999999999997,22.400000000000002,19.3
