date,temp_c,thermal_suitability,precip_mm
2026-02-17,4.54,,0.67
2026-02-18,1.04,,0.16
2026-02-19,-4.5,,0.1
2026-02-20,-5.59,,0.86
2026-02-21,-3.57,,0.29
2026-02-22,-0.17,,0.0
2026-02-23,5.18,,0.0
2026-02-24,7.18,0.0,0.01
2026-02-25,7.56,0.0,1.39
2026-02-26,5.32,0.0,1.1
2026-02-27,6.0,0.0,0.0
2026-02-28,8.17,0.0,0.06
2026-03-01,8.43,0.0,0.07
2026-03-02,9.59,0.0,0.05
2026-03-03,3.7,0.0,3.71
2026-03-04,5.93,0.0,0.01
2026-03-05,7.41,0.0,0.16
2026-03-06,-2.22,0.0,15.57
2026-03-07,-1.12,0.0,0.0
2026-03-08,6.27,0.0019428571428571422,0.11
2026-03-09,8.92,0.0019428571428571422,0.02
2026-03-10,8.82,0.0019428571428571422,0.54
2026-03-11,1.01,0.0019428571428571422,0.27
2026-03-12,7.02,0.012609523809523812,0.0
2026-03-13,9.6,0.031200000000000006,0.01
2026-03-14,10.51,0.054285714285714284,0.65
2026-03-15,-3.94,0.08144761904761906,5.94
2026-03-16,1.09,0.08495238095238096,0.24
2026-03-17,9.47,0.09104761904761904,0.07
2026-03-18,12.8,0.11485714285714287,0.0
2026-03-19,14.88,0.14620952380952382,0.0
2026-03-20,16.06,0.1675047619047619,0.0
2026-03-21,17.13,0.1675047619047619,0.0
2026-03-22,10.92,0.1822095238095238,0.0
2026-03-23,11.6,0.20487619047619046,0.01
2026-03-24,16.25,0.22449523809523808,0.0
2026-03-25,18.23,0.22582857142857143,0.0
2026-03-26,15.59,0.21516190476190475,0.02
2026-03-27,5.37,0.19657142857142856,0.05
2026-03-28,14.37,0.17348571428571427,0.0
2026-03-29,15.95,0.14632380952380952,0.0
2026-03-30,15.15,0.14281904761904762,0.0
2026-03-31,10.35,0.13714285714285715,0.06
2026-04-01,7.66,0.11333333333333331,1.5
2026-04-02,9.48,0.0868190476190476,0.0
2026-04-03,4.28,0.07318095238095237,0.02
2026-04-04,5.42,0.07668571428571427,0.0
2026-04-05,8.16,0.06963809523809524,0.0
2026-04-06,10.11,0.05554285714285714,0.0
2026-04-07,9.4,0.04239999999999999,0.03
2026-04-08,11.27,0.04106666666666666,0.04
2026-04-09,12.01,0.04106666666666666,0.29
2026-04-10,10.92,0.04643809523809523,0.39
2026-04-11,12.52,0.04643809523809523,0.13
2026-04-12,12.25,0.04643809523809523,0.0
2026-04-13,11.7,0.04643809523809523,0.0
2026-04-14,6.53,0.05973333333333332,1.03
2026-04-15,7.69,0.08323809523809524,0.0
2026-04-16,11.41,0.10003809523809525,0.0
2026-04-17,-0.55,0.09238095238095237,8.38
2026-04-18,1.64,0.08887619047619047,0.0
2026-04-19,9.46,0.07927619047619047,0.0
2026-04-20,13.6,0.07070476190476191,0.0
2026-04-21,16.17,0.06422857142857143,0.0
2026-04-22,15.68,0.06422857142857143,0.0
2026-04-23,9.2,0.06422857142857143,0.0
2026-04-24,9.56,0.058857142857142865,0.0
2026-04-25,5.39,0.058857142857142865,0.06
2026-04-26,6.79,0.05912380952380953,0.7
2026-04-27,6.27,0.06891428571428572,1.71
2026-04-28,6.63,0.06038095238095239,0.02
2026-04-29,5.42,0.03687619047619047,2.13
2026-04-30,2.92,0.01523809523809524,3.54
2026-05-01,6.57,0.01523809523809524,0.04
2026-05-02,10.07,0.02064761904761905,0.0
2026-05-03,12.57,0.03379047619047619,0.0
2026-05-04,11.36,0.03813333333333334,0.29
2026-05-05,1.85,0.06335238095238095,9.56
2026-05-06,-2.59,0.08963809523809523,8.92
2026-05-07,7.41,0.12483809523809522,0.15
2026-05-08,11.42,0.16057142857142856,0.14
2026-05-09,13.45,,1.29
2026-05-10,11.14,,0.5
2026-05-11,16.62,,0.0
2026-05-12,16.9,,0.01
2026-05-13,19.24,,0.54
2026-05-14,19.38,,0.26
